Comment,Designator,Footprint,LCSC Part #
0.1u,C1 C3 C4 C5 C6 C8 C9 C12 C14,C0603,
1.2k,R13 R17 R18,R0603,
1u,C10,C0603,
2.2k,R3 R4 R5,R0603,
3.3k,R14,R0603,
4.7k,R10,R0603,
5.1M,R15,R0603,
10k,R7 R8 R9 R26 R27,R0603,
10u,C7 C13,C1206,
10u,C15 C16,C0805,
10u,C17,C1206,
10u,C20,C0805,
33k,R23 R24 R30 R33,R0603,
47u,C21 C22,CT3528,
75,R11 R16,R0603,
82.5,R19 R21,R0603,
100,R2 R6,R0603,
150k,R34 R35,R0603,
150p,C18 C19,C0603,
220u,C2 C11,CT3528,
330,R36 R37,R0603,
470,R1 R12,R0603,
825,R20 R22,R0603,
MMBT3906LT1SMD,Q1 Q2,SOT23-BEC,
SMD_J,LPF_OFF,SJ,
SMD_J2,CV/S75,SJ_2,
THS7314,IC2,SOIC8,
THS7374TSSOP14_LONG,IC1,TSSOP14LONG,
TL972,IC3,SOIC8,
